collection_id,movie_id,release_year
10,11,1977
10,1891,1980
10,1892,1983
10,1893,1999
10,1894,2002
10,1895,2005
10,140607,2015
10,181812,2019
10,181808,2017
86027,812,1992
86027,15969,1994
86027,11238,1996
86028,9327,1996
86028,12107,2000
86029,4327,2000
86029,9471,2003
1157137,239423,1932
1157137,197491,1935
1157137,216068,1936
1157137,60562,1938
722961,2300,1996
722961,379686,2021
518165,8914,1999
518165,492336,2018
518165,703745,2020
124950,838,1973
124950,33258,1979
124949,310,2003
124949,2698,2007
722971,546554,2019
722971,661374,2022
618529,284052,2016
618529,453395,2022
1062948,664,1996
1062948,718821,2024
86055,607,1997
86055,608,2002
86055,41154,2012
14377,13939,1974
14377,14373,1982
14377,24873,1985
14377,26263,1987
14377,34746,1994
86058,88,1987
86058,10677,2004
43055,9387,1982
43055,9610,1984
86066,20352,2010
86066,93456,2013
86066,324852,2017
86066,519182,2024
507956,11050,1983
507956,30285,1996
43064,1639,1997
43064,1637,1994
43066,11824,1985
43066,15582,1987
92222,15259,1984
92222,17464,1984
43072,10214,2005
43072,854,1994
86083,621,1978
86083,9037,1982
84,85,1981
84,87,1984
84,89,1989
84,217,2008
84,335977,2023
145494,43096,1959
145494,42799,1963
145494,43018,1961
145494,251919,1969
145494,252941,1972
145494,581131,1985
434270,26268,1966
434270,32620,1975
114783,11007,2003
114783,9641,2005
86115,8920,2004
86115,9513,2006
813157,18983,1956
813157,329237,1959
813157,686487,1963
813157,39256,1985
2150,808,2001
2150,809,2004
2150,810,2007
2150,10192,2010
2150,421892,2026
86119,109439,2013
86119,45243,2011
86119,18785,2009
119,120,2001
119,121,2002
119,122,2003
55419,11224,1950
55419,16119,2007
55419,14128,2002
221308,24032,1977
221308,38147,1980
221308,38148,1984
108669,33787,1989
108669,26200,1980
108669,1059816,1967
108669,11665,2008
108669,15531,2008
55422,10693,1953
55422,16690,2002
55427,756,1940
55427,49948,2000
397444,951,1990
397444,383121,2016
264338,805,1968
264338,117258,1976
264338,807339,2024
387219,990,1961
387219,11873,1986
108693,11153,1983
108693,11418,1985
108693,11419,1997
108693,5825,1989
4246,4247,2000
4246,4248,2001
4246,4257,2006
4246,4258,2013
4246,4256,2003
151,152,1979
151,154,1982
151,157,1984
151,168,1986
151,172,1989
151,174,1991
735384,392044,2017
735384,505026,2022
735384,945729,2023
401562,98566,2014
401562,308531,2016
702624,537915,2019
702624,613504,2020
702624,744275,2021
702624,744276,2022
702624,820525,2023
8354,57800,2012
8354,425,2002
8354,8355,2009
8354,950,2006
8354,278154,2016
8354,774825,2022
8354,1384758,2026
393379,58595,2012
393379,290595,2016
327871,28733,1970
327871,28855,1971
157890,36775,1967
157890,3054,1968
157890,21779,1966
157890,36642,1966
59586,5689,1980
59586,13888,1991
90306,1250,2007
90306,71676,2011
1231053,629542,2022
1231053,1175942,2025
1036499,8960,2008
10453,609,1982
10453,10306,1988
10453,11133,1986
721111,5503,1993
721111,11808,1998
10456,984,1971
10456,10648,1973
10456,10649,1976
10456,10650,1983
10456,10651,1988
96472,10009,2003
96472,10010,2006
295130,198663,2014
295130,294254,2015
295130,336843,2018
131292,10138,2010
131292,68721,2013
131292,1726,2008
985311,615,2004
131296,10195,2011
131296,76338,2013
131296,284053,2017
131296,616037,2022
131295,100402,2014
131295,271110,2016
131295,822119,2025
131295,1771,2011
809185,503736,2021
809185,796499,2021
14563,10320,2005
14563,565,2002
14563,14564,2017
230,238,1972
230,240,1974
230,242,1990
1370345,1184918,2024
366826,10911,1961
366826,17339,1978
209131,49521,2013
209131,209112,2016
90348,14822,1978
90348,34075,1982
90348,14821,1975
90348,13836,2009
162028,10859,1987
162028,9409,1993
1097972,42295,1945
1097972,36814,1948
168182,17169,1980
168182,15417,1978
135416,70981,2012
135416,126889,2017
489724,136799,2016
489724,446893,2020
489724,901362,2023
573693,297802,2018
573693,572802,2023
948485,414906,2022
948485,806704,2027
263,155,2008
263,49026,2012
263,272,2005
264,105,1985
264,165,1989
264,196,1990
956687,624,1969
956687,156062,2012
106768,13683,2002
106768,15657,2005
106768,37135,1999
135441,31812,1941
135441,29021,1946
135441,31805,1942
135441,34082,1953
135441,31804,1962
135441,13861,1940
135441,31980,1947
37139,37136,1988
37139,37137,1991
37139,36593,1994
1149208,10999,1985
215326,23479,1976
215326,19050,1977
215326,66946,1978
272673,25508,1942
272673,28436,1944
86307,10328,1985
86307,11285,1988
295,22,2003
295,58,2006
295,285,2007
295,1865,2011
295,166426,2017
2344,603,1999
2344,604,2003
2344,605,2003
2344,624860,2021
256297,28153,1974
256297,28155,1978
256297,49684,1987
598314,32061,1972
598314,54388,1973
598314,130024,1976
86311,24428,2012
86311,99861,2015
86311,299536,2018
86311,299534,2019
983340,6471,1979
983340,87243,1984
135468,14869,2009
135468,72559,2013
33071,11455,1978
33071,12695,1983
33071,13612,1980
33071,14774,1984
33071,20075,1981
33071,20197,1982
33071,31609,1985
304,161,2001
304,163,2004
304,298,2007
422193,40983,1972
422193,8851,1958
51509,693,2004
51509,39451,2010
51509,1597,2000
135483,8681,2008
135483,82675,2012
135483,260346,2014
33085,10144,1989
33085,13676,2008
33085,10898,2000
2366,578,1975
2366,579,1978
2366,580,1987
2366,17692,1983
248126,54107,1988
248126,2619,1984
86336,402,1992
86336,3093,2006
135495,244,1933
135495,43149,1933
328,329,1993
328,330,1997
328,331,2001
328,135397,2015
328,351286,2018
328,507086,2022
328,1234821,2025
135498,10730,1976
135498,31947,1986
86347,2605,1986
86347,11966,1988
123213,11815,1958
123213,38126,1959
123213,38125,1965
694606,36685,1975
694606,27997,1981
135508,135504,1959
135508,43388,1950
100693,12230,1961
100693,13654,2003
4438,62,1968
4438,4437,1984
751961,25188,1971
751961,82545,1990
8537,1924,1978
8537,9531,1983
8537,8536,1980
8537,11411,1987
1415515,330459,2016
1415515,348350,2018
221537,10973,1954
221537,40761,1955
221537,39408,1956
221539,138,1931
221539,22440,1936
221539,32023,1943
221539,30793,1945
104833,9749,1985
104833,14628,1989
8580,1885,1984
8580,8856,1986
8580,10495,1989
8580,11231,1994
8580,1011477,2025
8581,377,1984
8581,10014,1985
8581,10072,1987
8581,10131,1988
8581,10160,1989
8581,11284,1991
8581,11596,1994
94602,315162,2022
94602,417859,2011
104847,11977,1980
104847,18509,1988
399,106,1987
399,169,1990
399,34851,2010
399,346910,2018
399,766507,2022
399,1242898,2025
1120657,9350,1993
14740,953,2005
14740,10527,2008
14740,80321,2012
338327,86343,1966
338327,26879,1965
338327,26483,1965
338327,53617,1964
338327,39113,1964
338327,27376,1964
338327,26484,1963
96665,8467,1994
96665,10152,2003
96665,100042,2014
631194,619278,2019
631194,388,2006
2467,1995,2001
2467,1996,2003
420,411,2005
420,2454,2008
420,10140,2010
762287,43109,1959
762287,129524,2012
266672,72105,2012
266672,214756,2015
307637,9279,1996
307637,289728,2014
72119,9354,1989
72119,11158,1992
72119,11425,1997
8650,1858,2007
8650,8373,2009
8650,38356,2011
8650,91314,2014
8650,335988,2017
86486,10054,2001
86486,12279,2003
86486,56288,2011
86486,9488,2002
10713,9349,1992
10713,10366,1999
10713,10704,1998
10713,27847,1998
10713,28510,2009
10713,122857,2012
41437,23827,2007
41437,41436,2010
41437,72571,2011
41437,82990,2012
41437,146301,2015
41437,227348,2014
41437,609972,2021
1239518,1239251,2024
1239518,38055,2010
137696,585,2001
137696,62211,2013
137697,12,2003
137697,127380,2016
1071588,536554,2022
1071588,1071585,2025
166376,9383,2000
166376,8997,2006
495,493,1972
495,494,1973
495,482,1971
575987,446807,2018
575987,65754,2011
981517,42614,1928
981517,109891,1929
981517,156320,1930
528,218,1984
528,280,1991
528,296,2003
528,534,2009
528,87101,2015
528,290859,2019
1069584,98,2000
1069584,558449,2024
397842,10065,2005
397842,11449,1979
397842,55377,1989
397842,27214,1983
397842,16235,1982
397842,41848,1990
397842,41671,1992
397842,33519,1993
397842,52263,1996
397842,203835,2017
14890,38700,2020
14890,9737,1995
14890,8961,2003
14890,573435,2024
2602,4232,1996
2602,4233,1997
2602,4234,2000
2602,41446,2011
2602,646385,2022
2602,934433,2023
2602,1159559,2026
556,557,2002
556,558,2004
556,559,2007
229932,46195,2011
229932,172385,2014
131635,131631,2014
131635,131634,2015
131635,70160,2012
131635,101299,2013
131635,695721,2023
938550,6646,1950
938550,23115,1954
918082,27367,1942
918082,92699,1950
8783,4978,1986
8783,10380,1991
8783,31473,1998
8783,27653,1999
359005,829,1974
359005,32669,1990
100965,10865,2001
100965,8965,2003
96871,11846,1991
96871,11862,1995
217704,628,1994
217704,11979,2002
100970,10948,1981
100970,9948,2006
930413,37749,1977
930413,486549,1983
57971,11319,1977
57971,11135,1990
8819,8839,1995
8819,39345,1998
8819,39346,1997
180854,11077,1990
180854,28601,1995
180854,28597,1991
584320,17529,1969
584320,17538,1975
584320,108807,1978
125570,1271,2007
125570,53182,2014
645,253,1973
645,646,1962
645,657,1963
645,658,1964
645,660,1965
645,667,1967
645,668,1969
645,681,1971
645,682,1974
645,691,1977
645,698,1979
645,699,1981
645,700,1983
645,707,1985
645,709,1989
645,710,1995
645,714,1997
645,10764,2008
645,36557,2006
645,36643,1999
645,36669,2002
645,37724,2012
645,206647,2015
645,708,1987
645,370172,2021
645,36670,1983
125574,102382,2014
125574,1930,2012
389767,8346,2002
389767,302688,2016
389767,1001811,2023
150156,1406,1991
150156,11310,1994
762512,420818,2019
762512,762509,2024
88735,10345,1989
88735,47354,2002
88735,41586,1999
10919,10766,1978
10919,10768,1981
10919,794,1976
10919,17792,1991
10919,437342,2024
391860,207703,2015
391860,343668,2017
391860,476669,2021
47814,3529,1934
47814,14588,1936
47814,14589,1939
47814,14595,1947
47814,14594,1944
47814,14590,1941
979674,32060,1986
979674,19382,1988
979674,218468,1992
19163,12144,1988
19163,15997,1994
19163,17337,1998
19163,19004,1995
19163,19164,1996
19163,19165,1997
19163,24102,2000
19163,24554,2003
19163,24556,2005
19163,25556,2002
19163,31933,2006
19163,39961,2007
19163,25587,2001
19163,339526,2016
33514,8966,2008
33514,18239,2009
33514,50619,2011
33514,50620,2012
33514,24021,2010
748,36657,2000
748,36658,2003
748,36668,2006
748,49538,2011
748,127585,2014
748,246655,2016
748,320288,2019
90863,2109,1998
90863,5175,2001
90863,5174,2007
8945,8810,1981
8945,9355,1985
8945,9659,1979
8945,76341,2015
8945,786892,2024
553717,312221,2015
553717,480530,2018
553717,677179,2023
2806,2105,1999
2806,2770,2001
2806,8273,2003
2806,71552,2012
86780,57165,2012
86780,18823,2010
344830,216015,2015
344830,341174,2017
344830,337167,2018
170754,13665,1981
170754,26044,1988
690952,571,1963
690952,4337,1994
477962,474350,2019
477962,346364,2017
221966,11356,1968
221966,27472,1998
185103,76492,2012
185103,159824,2015
185103,400155,2018
185103,585083,2022
535313,373571,2019
535313,124905,2014
535313,399566,2021
535313,823464,2024
840465,524047,2020
8979,8872,1992
8979,8873,1993
563999,457245,1938
563999,317394,1938
563999,457247,1938
563999,457508,1938
563999,457511,1938
563999,457823,1938
563999,457824,1939
563999,327284,1939
563999,431904,1939
563999,453381,1939
563999,462760,1939
563999,549257,1939
563999,317451,1939
563999,336608,1939
563999,370161,1939
563999,370164,1939
563999,449316,1939
563999,327288,1940
563999,352946,1940
563999,449464,1940
563999,449465,1940
563999,449466,1940
563999,449156,1940
563999,352976,1940
563999,449159,1940
563999,558114,1940
563999,413211,1941
563999,451756,1941
563999,451757,1941
563999,3411,1941
563999,564003,1941
563999,564000,1941
563999,327282,1941
563999,352557,1941
563999,327289,1942
563999,352558,1942
563999,343034,1942
563999,460488,1942
563999,461933,1942
563999,461938,1942
563999,365971,1942
563999,385167,1942
563999,462045,1943
563999,327290,1943
563999,417470,1943
563999,417475,1943
563999,428949,1943
563999,428951,1943
563999,564006,1943
563999,564007,1944
563999,527607,1944
563999,474049,1944
563999,184538,1935
563999,174437,1934
563999,174497,1934
563999,156481,1932
563999,219459,1937
563999,162729,1931
893731,675445,2021
893731,893723,2023
893731,1185806,2026
531241,315635,2017
531241,429617,2019
531241,634649,2021
531241,969681,2026
166698,2362,1973
166698,10640,1976
531242,297761,2016
531242,436969,2021
779062,4964,2007
779062,89492,2012
627517,630,1939
627517,187542,1972
2883,24,2003
2883,393,2004
721733,153161,1938
721733,85540,1940
721733,153162,1939
721733,153163,1939
721733,153166,1941
721733,88643,1940
721733,90149,1941
721733,153169,1942
721733,153165,1940
721733,183190,1942
721733,96655,1943
721733,200454,1944
721733,239228,1945
721733,308486,1947
721733,3576,1942
721733,83816,1937
1022790,150540,2015
1022790,1022789,2024
31562,2501,2002
31562,2502,2004
31562,2503,2007
31562,49040,2012
31562,324668,2016
86860,11024,2004
86860,9637,2002
1084247,269149,2016
1084247,1084242,2025
17255,71679,2012
17255,35791,2010
17255,1576,2002
17255,1577,2004
17255,7737,2007
17255,173897,2016
363369,68726,2013
363369,268896,2018
519018,28172,1963
519018,62132,1987
519018,28168,2002
519018,353058,2016
330605,9277,1973
330605,36912,1983
306031,114150,2012
306031,254470,2015
306031,353616,2017
195441,12139,1993
195441,45242,1998
195441,13358,2007
115570,193,1994
115570,199,1996
115570,200,1998
115570,201,2002
531315,153518,2016
531315,454640,2019
115575,13475,2009
115575,54138,2013
115575,188927,2016
119674,539,1960
119674,10576,1983
119674,12662,1986
119674,40377,1990
1258362,333339,2018
983933,1842,1972
983933,31263,1984
983933,283885,1977
983933,78083,2010
983933,232789,2010
1241984,277834,2016
1241984,1241982,2024
531330,744,1986
531330,361743,2022
531331,102651,2014
531331,420809,2019
476056,12593,1972
476056,14683,1974
2980,620,1984
2980,2978,1989
2980,425909,2021
2980,967847,2024
937,936,1963
937,1594,1964
937,6081,1978
937,9699,1982
937,11573,1968
937,11843,1975
937,12268,1976
937,46828,1993
937,36576,1983
5039,1368,1982
5039,1369,1985
5039,1370,1988
5039,7555,2008
5039,522938,2019
168880,11806,1992
168880,10438,1993
168880,24476,2000
168880,24478,2001
168880,24477,2003
168880,78080,2011
168880,13955,2008
168880,295887,2014
945,941,1987
945,942,1989
945,943,1992
945,944,1998
422834,102899,2015
422834,363088,2018
422834,640146,2023
422837,78,1982
422837,335984,2017
19387,846,1998
19387,8836,2008
283579,262504,2016
283579,262500,2015
283579,157350,2014
275402,11836,2004
275402,228165,2015
275402,400160,2020
275402,991494,2025
1006,816,1997
1006,817,1999
1006,818,2002
1100788,882598,2022
1100788,1100782,2024
521226,447332,2018
521226,520763,2021
136214,10530,1995
136214,13761,1998
109592,10246,1981
109592,19698,1983
109592,23919,1985
109592,84598,2009
263193,15171,1973
263193,21250,2003
711707,10747,1976
711707,225424,1986
257053,7341,1999
257053,7340,1976
93220,1493,2000
93220,10040,2005
109609,9426,1986
109609,10344,1989
179244,5683,1985
179244,30502,1988
179244,347689,2016
89137,10191,2010
