movie_id,title,release_year,budget,revenue,vote_average,collection_id
1022789,Inside Out 2,2024,200000000,1698778437,7.569,1022790.0
533535,Deadpool & Wolverine,2024,200000000,1338073645,7.634,448150.0
1241982,Moana 2,2024,150000000,1011930932,7.0,1241984.0
519182,Despicable Me 4,2024,100000000,969280910,7.071,86066.0
693134,Dune: Part Two,2024,190000000,714444358,8.2,726871.0
402431,Wicked,2024,150000000,709615060,7.0,968080.0
762509,Mufasa: The Lion King,2024,200000000,591998338,7.443,762512.0
823464,Godzilla x Kong: The New Empire,2024,150000000,571750016,7.1,535313.0
1011985,Kung Fu Panda 4,2024,80000000,548040835,7.084,77816.0
912649,Venom: The Last Dance,2024,120000000,478103649,6.8,558216.0
558449,Gladiator II,2024,310000000,458718000,6.761,1069584.0
917496,Beetlejuice Beetlejuice,2024,100000000,451100435,7.1,945475.0
939243,Sonic the Hedgehog 3,2024,122000000,422398000,7.8,720879.0
573435,Bad Boys: Ride or Die,2024,100000000,404547819,7.4,14890.0
653346,Kingdom of the Planet of the Apes,2024,160000000,397378150,7.1,173710.0
718821,Twisters,2024,155000000,370962265,6.9,1062948.0
1079091,It Ends with Us,2024,25000000,350993761,7.142,
945961,Alien: Romulus,2024,80000000,350865342,7.224,
1184918,The Wild Robot,2024,78000000,324816010,8.4,1370345.0
762441,A Quiet Place: Day One,2024,67000000,261786322,6.768,
748783,The Garfield Movie,2024,60000000,254907482,7.121,
889737,Joker: Folie à Deux,2024,195000000,206400287,5.52,987044.0
967847,Ghostbusters: Frozen Empire,2024,100000000,201967521,6.5,2980.0
639720,IF,2024,110000000,190309707,7.146,
845781,Red One,2024,250000000,185700759,7.121,
