"","movie_id","title","release_year","budget","revenue","vote_average","collection_id","yearly_rank","rev_adj","bud_adj","profit","profit_adj","is_sequel","movie_order"
"1",30266,"20,000 Leagues Under the Sea",1916,200000,8e+06,6.2,NA,1,83623076.0434535,2090576.90108634,7800000,81532499.1423671,"No",1
"2",3059,"Intolerance: Love's Struggle Throughout the Ages",1916,385907,1750000,7.1,NA,2,18292547.8845054,4033841.30083762,1364093,14258706.5836678,"No",1
"3",278480,"A Daughter of the Gods",1916,1000000,1390000,3.3,NA,3,14529509.46255,10452884.5054317,390000,4076624.95711835,"No",1
"4",563515,"Maria Rosa",1916,18575,102768,NA,NA,4,1074222.0348542,194162.329688393,84193,880059.705165809,"No",1
"5",54242,"Mickey",1918,250000,8e+06,6.5,NA,1,83623076.0434535,2613221.12635792,7750000,81009854.9170955,"No",1
"6",70753,"Stella Maris",1918,NA,2400000,6.7,NA,2,25086922.813036,NA,2400000,25086922.813036,"No",1
"7",132410,"The Ghost of Slumber Mountain",1918,3000,3000,6,NA,3,31358.653516295,31358.653516295,NA,NA,"No",1
"8",70801,"Daddy-Long-Legs",1919,NA,4900000,6.1,NA,1,51219134.0766152,NA,4900000,51219134.0766152,"No",1
"9",278093,"The Miracle Man",1919,120000,3600000,4.5,NA,2,37630384.2195541,1254346.1406518,3480000,36376038.0789023,"No",1
"10",899,"Broken Blossoms",1919,NA,2400000,6.9,NA,3,25086922.813036,NA,2400000,25086922.813036,"No",1
"11",433636,"The Glorious Lady",1919,NA,154504,6,NA,4,1615012.46762722,NA,154504,1615012.46762722,"No",1
"12",612890,"The Spite Bride",1919,NA,114709,NA,NA,5,1199039.92873356,NA,114709,1199039.92873356,"No",1
"13",31509,"Way Down East",1920,NA,4500000,6.946,NA,1,47037980.2744426,NA,4500000,47037980.2744426,"No",1
"14",563505,"Over the Hill to the Poorhouse",1920,100000,3e+06,NA,NA,2,31358653.516295,1045288.45054317,2900000,30313365.0657519,"No",1
"15",613627,"Shipwrecked Among Cannibals",1920,NA,1e+06,NA,NA,3,10452884.5054317,NA,1e+06,10452884.5054317,"No",1
"16",848091,"Footlights and Shadows",1920,NA,2e+05,NA,NA,4,2090576.90108634,NA,2e+05,2090576.90108634,"No",1
"17",848094,"Youthful Folly",1920,NA,200,NA,NA,5,2090.57690108634,NA,200,2090.57690108634,"No",1
"18",10098,"The Kid",1921,250000,2500000,8.2,NA,1,26132211.2635792,2613221.12635792,2250000,23518990.1372213,"No",1
"19",707496,"Fool's Paradise",1921,291367,901937,5.5,NA,2,9427843.29217554,3045625.59969411,610570,6382217.69248142,"No",1
"20",35227,"Foolish Wives",1922,1100000,400200,6.6,NA,1,4183244.37907376,11498172.9559748,-699800,-7314928.57690109,"No",1
"21",889971,"A Dangerous Adventure",1922,175000,142000,NA,NA,2,1484309.5997713,1829254.78845054,-33000,-344945.188679246,"No",1
"22",175518,"Tommy Tucker's Tooth",1922,NA,500,4.731,NA,3,5226.44225271584,NA,500,5226.44225271584,"No",1
"23",22596,"Safety Last!",1923,121000,1500000,7.7,NA,1,15679326.7581475,1264799.02515723,1379000,14414527.7329903,"No",1
"24",40574,"Girl Shy",1924,400000,1550000,6.9,NA,1,16201970.9834191,4181153.80217267,1150000,12020817.1812464,"No",1
"25",28963,"The Thief of Bagdad",1924,1135654,1490419,7.326,NA,2,15579177.671701,11870860.1001315,354765,3708317.57156947,"No",1
"26",27511,"He Who Gets Slapped",1924,172000,881000,7.6,NA,3,9208991.24928531,1797896.13493425,709000,7411095.11435106,"No",1
"27",53824,"Romola",1924,NA,497234,6,NA,4,5197529.57417382,NA,497234,5197529.57417382,"No",1
"28",144613,"Beau Brummel",1924,343000,495000,6.8,NA,5,5174177.83018868,3585339.38536307,152000,1588838.44482562,"No",1
"29",1405,"Greed",1924,665603,274827,7.4,NA,6,2872734.88997427,6957471.28546884,-390776,-4084736.39549457,"No",1
"30",621357,"Triumph",1924,NA,245919,NA,NA,7,2570562.90469125,NA,245919,2570562.90469125,"No",1
"31",3060,"The Big Parade",1925,382000,2e+07,7.6,NA,1,209057690.108634,3993001.8810749,19618000,205064688.227559,"No",1
"32",31510,"Ben-Hur: A Tale of the Christ",1925,3900000,9e+06,7.3,NA,2,94075960.5488851,40766249.5711836,5100000,53309710.9777016,"No",1
"33",962,"The Gold Rush",1925,923000,4e+06,8,NA,3,41811538.0217267,9648012.39851344,3077000,32163525.6232133,"No",1
"34",295448,"His People",1925,93000,3e+06,NA,NA,4,31358653.516295,972118.259005146,2907000,30386535.2572899,"No",1
"35",964,"The Phantom of the Opera",1925,NA,2e+06,7.1,NA,5,20905769.0108634,NA,2e+06,20905769.0108634,"No",1
"36",141914,"Stella Dallas",1925,NA,1500000,7.1,NA,6,15679326.7581475,NA,1500000,15679326.7581475,"No",1
"37",27505,"The Unholy Three",1925,103000,704000,6.755,NA,7,7358830.6918239,1076647.10405946,601000,6282183.58776444,"No",1
"38",541105,"The Great Divide",1925,318000,674000,NA,NA,8,7045244.15666095,3324017.27272727,356000,3721226.88393368,"No",1
"39",98477,"The Eagle",1925,NA,323150,6.3,NA,9,3377849.62793025,NA,323150,3377849.62793025,"No",1
"40",89647,"Clash of the Wolves",1925,89000,270000,6.267,NA,10,2822278.81646655,930306.72098342,181000,1891972.09548313,"No",1
"41",673603,"The Man Who Found Himself",1925,NA,180300,NA,NA,11,1884655.07632933,NA,180300,1884655.07632933,"No",1
"42",595119,"His Majesty, Bunker Bean",1925,84000,130000,NA,NA,12,1358874.98570612,878042.298456261,46000,480832.687249857,"No",1
"43",664792,"Jewelled Nights",1925,10480,6500,NA,NA,13,67943.7492853059,109546.229616924,-3980,-41602.4803316181,"No",1
"44",545359,"The Dressmaker from Paris",1925,NA,181,NA,NA,14,1891.97209548313,NA,181,1891.97209548313,"No",1
"45",189621,"Beau Geste",1926,900000,1500000,6,NA,1,15679326.7581475,9407596.05488851,6e+05,6271730.70325901,"No",1
"46",225112,"The Better 'Ole",1926,449000,1273000,5,NA,2,13306521.9754145,4693345.14293883,824000,8613176.83247571,"No",1
"47",111305,"Tell It to the Marines",1926,433000,1250000,6.3,NA,3,13066105.6317896,4526098.99085192,817000,8540006.64093768,"No",1
"48",961,"The General",1926,750000,1e+06,7.953,NA,4,10452884.5054317,7839663.37907376,250000,2613221.12635792,"No",1
"49",73575,"Sparrows",1926,463455,966878,7.111,NA,5,10106664.0648428,4844441.58846484,503423,5262222.47637793,"No",1
"50",177219,"The Sea Beast",1926,503000,938000,6.5,NA,6,9804805.66609492,5257800.90623214,435000,4547004.75986278,"No",1
"51",38687,"Flesh and the Devil",1926,373000,658000,7.2,NA,7,6877998.00457405,3898925.92052602,285000,2979072.08404803,"No",1
"52",28966,"Wings",1927,2000000,3600000,7.2,NA,1,37630384.2195541,20905769.0108634,1600000,16724615.2086907,"No",1
"53",49633,"The King of Kings",1927,1265000,2640000,6.5,NA,2,27595615.0943396,13222898.8993711,1375000,14372716.1949686,"No",1
"54",939,"The Jazz Singer",1927,422000,2600000,6.078,NA,3,27177499.7141224,4411117.26129217,2178000,22766382.4528302,"No",1
"55",82474,"7th Heaven",1927,1300000,2500000,7.4,NA,4,26132211.2635792,13588749.8570612,1200000,12543461.406518,"No",1
"56",631,"Sunrise: A Song of Two Humans",1927,NA,1636000,7.8,NA,5,17100919.0508862,NA,1636000,17100919.0508862,"No",1
"57",200656,"Rough House Rosie",1927,225000,1125000,NA,NA,6,11759495.0686106,2351899.01372213,9e+05,9407596.05488851,"No",1
"58",122331,"When a Man Loves",1927,528000,1037000,6.4,NA,7,10839641.2321327,5519123.01886793,509000,5320518.21326473,"No",1
"59",73969,"My Best Girl",1927,483103,1027757,7,NA,8,10743025.2206489,5049819.86322756,544654,5693205.35742139,"No",1
"60",64852,"London After Midnight",1927,151666,1e+06,6.6,NA,9,10452884.5054317,1585347.1814008,848334,8867537.32403088,"No",1
"61",171343,"The Magic Flame",1927,NA,615000,4.5,NA,10,6428523.97084048,NA,615000,6428523.97084048,"No",1
"62",673588,"Knockout Reilly",1927,NA,380400,NA,NA,11,3976277.26586621,NA,380400,3976277.26586621,"No",1
"63",76804,"The Cat and the Canary",1927,NA,325550,6.8,NA,12,3402936.55074328,NA,325550,3402936.55074328,"No",1
"64",42538,"Sadie Thompson",1928,1000000,7e+06,6.8,NA,1,73170191.5380218,10452884.5054317,6e+06,62717307.0325901,"No",1
"65",207143,"The Singing Fool",1928,388000,5916000,5,NA,2,61839264.7341338,4055719.18810749,5528000,57783545.5460263,"No",1
"66",104430,"Noah's Ark",1928,1005000,2305000,6.1,NA,3,24093898.78502,10505148.9279588,1300000,13588749.8570612,"No",1
"67",148112,"The Terror",1928,163000,1464000,6,NA,4,15303022.915952,1703820.17438536,1301000,13599202.7415666,"No",1
"68",464219,"On Trial",1928,130000,1454000,6,NA,5,15198494.0708977,1358874.98570612,1324000,13839619.0851915,"No",1
"69",173689,"Lights of New York",1928,75000,1200000,5.4,NA,6,12543461.406518,783966.337907376,1125000,11759495.0686106,"No",1
"70",42614,"Our Dancing Daughters",1928,178000,1099000,6.4,981517,7,11487720.0714694,1860613.44196684,921000,9627106.62950258,"No",1
"71",206581,"The Divine Woman",1928,266817,931000,6.9,NA,8,9731635.47455689,2789007.28508577,664183,6942628.18947113,"No",1
"72",27506,"West of Zanzibar",1928,259000,921000,6.988,NA,9,9627106.62950258,2707297.08690681,662000,6919809.54259577,"No",1
"73",142159,"Across to Singapore",1928,290000,596000,6.8,NA,10,6229919.16523728,3031336.50657519,306000,3198582.65866209,"No",1
"74",108923,"The Mysterious Lady",1928,337000,551000,7.4,NA,11,5759539.36249286,3522622.07833048,214000,2236917.28416238,"No",1
"75",115893,"The Life and Death of 9413, a Hollywood Extra",1928,NA,97,6.4,NA,12,1013.92979702687,NA,97,1013.92979702687,"No",1
"76",65203,"The Broadway Melody",1929,379000,4358000,5.2,1037405,1,45553670.6746713,3961643.22755861,3979000,41592027.4471127,"No",1
"77",44670,"Gold Diggers of Broadway",1929,532000,3967000,7,NA,2,41466592.8330475,5560934.55688965,3435000,35905658.2761578,"No",1
"78",79761,"The Iron Mask",1929,NA,3270000,6.7,707853,3,34180932.3327616,NA,3270000,34180932.3327616,"Yes",2
"79",262260,"The Desert Song",1929,354000,3022000,4.5,NA,4,31588616.9754145,3700321.11492282,2668000,27888295.8604917,"No",1
"80",53528,"Welcome Danger",1929,979828,3e+06,5.1,NA,5,31358653.516295,10242028.9191881,2020172,21116624.5971069,"No",1
"81",53760,"Rio Rita",1929,678000,2400000,8.5,NA,6,25086922.813036,7087055.69468268,1722000,17999867.1183534,"No",1
"82",198930,"Say It with Songs",1929,470000,2266000,5.3,NA,7,23686236.2893082,4912855.71755289,1796000,18773380.5717553,"No",1
"83",1153281,"The Phantom of the Opera",1929,NA,2e+06,10,NA,8,20905769.0108634,NA,2e+06,20905769.0108634,"No",1
"84",20625,"The Cocoanuts",1929,500000,1800000,6.4,NA,9,18815192.109777,5226442.25271584,1300000,13588749.8570612,"No",1
"85",109891,"Our Modern Maidens",1929,283000,857000,5.9,981517,10,8958122.02115495,2958166.31503717,574000,5999955.70611779,"Yes",2
"86",166307,"Tom Sawyer",1930,NA,1.1e+07,5.5,NA,1,114981729.559749,NA,1.1e+07,114981729.559749,"No",1
"87",22301,"Hell's Angels",1930,3950000,8e+06,6.4,NA,2,83623076.0434535,41288893.7964551,4050000,42334182.2469983,"No",1
"88",262972,"Ingagi",1930,NA,4e+06,4.1,NA,3,41811538.0217267,NA,4e+06,41811538.0217267,"No",1
"89",143,"All Quiet on the Western Front",1930,1448864,3270000,7.764,1070848,4,34180932.3327616,15144808.0560778,1821136,19036124.2766838,"No",1
"90",166658,"Son of the Gods",1930,436000,1432000,5.5,NA,5,14968530.6117782,4557457.64436821,996000,10411072.96741,"No",1
"91",156320,"Our Blushing Brides",1930,337000,1211000,5.9,981517,6,12658443.1360778,3522622.07833048,874000,9135821.05774729,"Yes",3
"92",130816,"Abraham Lincoln",1930,NA,4e+05,5.4,NA,7,4181153.80217267,NA,4e+05,4181153.80217267,"No",1
"93",271840,"The Runaway Bride",1930,103000,204000,5,NA,8,2132388.43910806,1076647.10405946,101000,1055741.3350486,"No",1
"94",3035,"Frankenstein",1931,291000,1.2e+07,7.5,218406,1,125434614.06518,3041789.39108062,11709000,122392824.6741,"No",1
"95",901,"City Lights",1931,1500000,4250000,8.3,NA,2,44424759.1480846,15679326.7581475,2750000,28745432.3899371,"No",1
"96",84296,"Trader Horn",1931,1300000,4200000,5.3,NA,3,43902114.9228131,13588749.8570612,2900000,30313365.0657519,"No",1
"97",35545,"Mata Hari",1931,558000,2227000,6.2,NA,4,23278573.7935964,5832709.55403088,1669000,17445864.2395655,"No",1
"98",42816,"The Champ",1931,356000,1600000,7.1,NA,5,16724615.2086907,3721226.88393368,1244000,13003388.324757,"No",1
"99",52239,"Possessed",1931,NA,1522000,7.1,NA,6,15909290.217267,NA,1522000,15909290.217267,"No",1
"100",42861,"Cimarron",1931,1433000,1383000,5.6,NA,7,14456339.271012,14978983.4962836,-50000,-522644.225271584,"No",1
"101",3019,"Dr. Jekyll and Mr. Hyde",1931,535000,1300000,7.3,NA,8,13588749.8570612,5592293.21040595,765000,7996456.64665524,"No",1
"102",84299,"Bad Girl",1931,100000,1100000,5.9,NA,9,11498172.9559748,1045288.45054317,1e+06,10452884.5054317,"No",1
"103",42669,"Five Star Final",1931,310000,822000,6.592,NA,10,8592271.06346484,3240394.19668382,512000,5351876.86678102,"No",1
"104",27899,"Little Caesar",1931,281000,752000,6.9,NA,11,7860569.14808462,2937260.5460263,471000,4923308.60205832,"No",1
"105",138,"Dracula",1931,355000,7e+05,7.2,221539,12,7317019.15380218,3710773.99942825,345000,3606245.15437393,"No",1
"106",17687,"The Public Enemy",1931,151000,557000,7.244,NA,13,5822256.66952545,1578385.56032018,406000,4243871.10920526,"No",1
"107",33680,"Grand Hotel",1932,700000,2594000,6.9,NA,1,27114782.4070898,7317019.15380218,1894000,19797763.2532876,"No",1
"108",239423,"The Big Broadcast",1932,NA,2e+06,7.1,1157137,2,20905769.0108634,NA,2e+06,20905769.0108634,"No",1
"109",104221,"Emma",1932,350000,1972000,6.5,NA,3,20613088.2447113,3658509.57690109,1622000,16954578.6678102,"No",1
"110",272667,"Prosperity",1932,628000,1514000,4.7,NA,4,15825667.1412236,6564411.4694111,886000,9261255.67181247,"No",1
"111",150397,"As You Desire Me",1932,460733,1362000,6.2,NA,5,14236828.696398,4815988.83684106,901267,9420839.85955689,"No",1
"112",130422,"Strange Interlude",1932,654000,1237000,5.727,NA,6,12930218.133219,6836186.46655232,583000,6094031.66666667,"No",1
