movie_id,title,release_year,budget,revenue,vote_average,collection_id
30266,"20,000 Leagues Under the Sea",1916,200000,8000000,6.2,
3059,Intolerance: Love's Struggle Throughout the Ages,1916,385907,1750000,7.1,
278480,A Daughter of the Gods,1916,1000000,1390000,3.3,
563515,Maria Rosa,1916,18575,102768,0.0,
1421151,The Wheel of the Law,1916,0,0,0.0,
1421146,The Wager,1916,0,0,0.0,
1420341,Puppets,1916,0,0,0.0,
1417839,A Sad Awakening,1916,0,0,0.0,
1417835,Krazy Kat at Looney Park,1916,0,0,0.0,
1417832,Krazy Kat the Hero,1916,0,0,0.0,
1417830,Krazy Kat at the Switchboard,1916,0,0,0.0,
1417342,"Freddy, the Fixer",1916,0,0,0.0,
1417336,The Destroyers,1916,0,0,0.0,
1417331,The Ancient Blood,1916,0,0,0.0,
1417328,The Dupe,1916,0,0,0.0,
1417325,The Deluded Wife,1916,0,0,0.0,
1414916,Krazy Kat Demi-Tasse,1916,0,0,0.0,
1414914,Ignatz Believes in Signs,1916,0,0,0.0,
1413487,Krazy Kat to the Rescue,1916,0,0,0.0,
1412496,Immediate Lee,1916,0,0,0.0,
1412491,The Courtin' of Calliope Clew,1916,0,0,0.0,
1412488,A Flickering Light,1916,0,0,0.0,
1412481,The Silken Spider,1916,0,0,0.0,
1407166,My Lady's Slipper,1916,0,0,0.0,
1405405,Never Again Eddie!,1916,0,0,0.0,
1421719,Environment,1917,0,0,0.0,
1421713,Her Country's Call,1917,0,0,0.0,
1421665,Lost: A Cook,1917,0,0,0.0,
1421664,His Cool Nerve,1917,0,0,0.0,
1421660,The Pawnbroker's Heart,1917,0,0,0.0,
1421658,Two Crooks,1917,0,0,0.0,
1421656,Dummies and Deceptions,1917,0,0,0.0,
1420682,Outwitted,1917,0,0,0.0,
1420675,Alias Mrs. Jessop,1917,0,0,0.0,
1420052,The Slacker,1917,0,0,0.0,
1418364,A Krazy Katastrophe,1917,0,0,0.0,
1418363,All Is Not Gold That Glitters,1917,0,0,0.0,
1418362,Moving Day,1917,0,0,0.0,
1418360,The Cook,1917,0,0,0.0,
1418359,Robbers and Thieves,1917,0,0,0.0,
1418355,Roses and Thorns,1917,0,0,0.0,
1417843,Throwing the Bull,1917,0,0,0.0,
1416854,His Flying Flivver,1917,0,0,0.0,
1416848,A Boarding House Battle,1917,0,0,0.0,
1416845,A Harem Romance,1917,0,0,0.0,
1416843,His Watery Waterloo,1917,0,0,0.0,
1416840,A Hash House Romance,1917,0,0,0.0,
1416838,His Winning Ways,1917,0,0,0.0,
1416833,Stealing a Sweetheart,1917,0,0,0.0,
1413484,Little Red Riding Hood,1917,0,0,0.0,
54242,Mickey,1918,250000,8000000,6.5,
70753,Stella Maris,1918,0,2400000,6.7,
132410,The Ghost of Slumber Mountain,1918,3000,3000,6.0,
1422469,The Law of the North,1918,0,0,0.0,
1421707,Rosemary Climbs the Heights,1918,0,0,0.0,
1421701,Wives and Other Wives,1918,0,0,0.0,
1421654,Wronged by Mistake,1918,0,0,0.0,
1421326,A Nine O'Clock Town,1918,0,0,0.0,
1421319,When Do We Eat?,1918,0,0,0.0,
1420666,Kildare of Storm,1918,0,0,0.0,
1420580,Building for Democracy,1918,0,0,0.0,
1420042,"Cyclone Higgins, D.D.",1918,0,0,0.0,
1420037,The Winning of Beatrice,1918,0,0,0.0,
1420024,A Man's World,1918,0,0,0.0,
1419701,Neighbors,1918,0,0,0.0,
1419085,The Silent Woman,1918,0,0,0.0,
1417382,First Aid,1918,0,0,0.0,
1416956,The Queen of Hearts,1918,0,0,0.0,
1413630,Doing His Bit,1918,0,0,0.0,
1413589,Bobby Bumps and the Speckled Death,1918,0,0,0.0,
1412356,Pay Day,1918,0,0,0.0,
1406674,Virtuous Wives,1918,0,0,0.0,
1403042,The Kitchen Lady,1918,0,0,0.0,
1401690,At the Mercy of Men,1918,0,0,0.0,
1399875,The Challenge Accepted,1918,0,0,0.0,
70801,Daddy-Long-Legs,1919,0,4900000,6.1,
278093,The Miracle Man,1919,120000,3600000,4.5,
899,Broken Blossoms,1919,0,2400000,6.9,
433636,The Glorious Lady,1919,0,154504,6.0,
612890,The Spite Bride,1919,0,114709,0.0,
1422464,The Girl Dodger,1919,0,0,0.0,
1421694,The Intrusion of Isabel,1919,0,0,0.0,
1421293,Bare-Fisted Gallagher,1919,0,0,0.0,
1421287,The Uplifters,1919,0,0,0.0,
1419073,"The Great Victory, Wilson or the Kaiser? The Fall of the Hohenzollerns",1919,0,0,0.0,
1418979,As a Man Thinks,1919,0,0,0.0,
1418977,A House Divided,1919,0,0,0.0,
1418975,Heads Win,1919,0,0,0.0,
1417371,A Bachelor's Wife,1919,0,0,0.0,
1416947,The Lurking Peril,1919,0,0,0.0,
1416396,Break the News to Mother,1919,0,0,0.0,
1413608,Bobby Bumps Eel-lectric Launch,1919,0,0,0.0,
1413178,Die Hexe von Norderoog,1919,0,0,0.0,
1406672,Two Women,1919,0,0,0.0,
1406654,The Painted World,1919,0,0,0.0,
1406638,Shadows of the Past,1919,0,0,0.0,
1406389,Mind the Paint Girl,1919,0,0,0.0,
1404613,The Echo of Youth,1919,0,0,0.0,
1401685,Gates of Brass,1919,0,0,0.0,
1399767,An Amateur Widow,1919,0,0,0.0,
31509,Way Down East,1920,0,4500000,6.946,
563505,Over the Hill to the Poorhouse,1920,100000,3000000,0.0,
613627,Shipwrecked Among Cannibals,1920,0,1000000,0.0,
848091,Footlights and Shadows,1920,0,200000,0.0,
848094,Youthful Folly,1920,0,200,0.0,
1421281,Alias Aladdin,1920,0,0,0.0,
1420560,The Place of Honeymoons,1920,0,0,0.0,
1418969,Why Women Sin,1920,0,0,0.0,
1415453,Why Leave Your Husband?,1920,0,0,0.0,
1409813,Half a Chance,1920,0,0,0.0,
1404572,The Harvest Moon,1920,0,0,0.0,
1404030,Blackbirds,1920,0,0,0.0,
1403837,A Fool and His Money,1920,0,0,0.0,
1402879,The Shadow of Rosalie Byrnes,1920,0,0,0.0,
1401672,Old Dad,1920,0,0,0.0,
1401190,The Victim,1920,0,0,0.0,
